intent	intent_var	specification	woman_coef	woman_se	woman_pval	ame	ame_se	r_squared	n_obs
Information Retrieval	InfoRetrieval_freq	Baseline	-0.26947885019864526	0.05875564306604229	4.901158219989647e-06	-0.26947885019864526	0.05875564306604229	0.014437104775604115	1438
Information Retrieval	InfoRetrieval_freq	+Demo	-0.22027744539456517	0.06010852178642323	0.0002569884818803759	-0.22027744539456517	0.06010852178642323	0.03213922664317315	1399
Information Retrieval	InfoRetrieval_freq	+Edu	-0.2231854796993857	0.06019766495545015	0.00021752076447306362	-0.2231854796993857	0.06019766495545015	0.0327132962619785	1399
Information Retrieval	InfoRetrieval_freq	+Exp	-0.21736015732691583	0.060410043967994716	0.00033184774119177074	-0.21736015732691583	0.060410043967994716	0.03361011256496227	1399
Information Retrieval	InfoRetrieval_freq	+TechLit	-0.21681885414569324	0.06090828579506703	0.000383736846748222	-0.21681885414569324	0.06090828579506703	0.03361364556891677	1399
Information Retrieval	InfoRetrieval_freq	+TechEdu	-0.2071917589453189	0.0618922231572968	0.0008369484767396846	-0.2071917589453189	0.0618922231572968	0.03415128577046922	1399
Problem Solving	ProblemSolving_freq	Baseline	-0.4226509388599268	0.056334413761322165	1.1014385655910303e-13	-0.4226509388599268	0.056334413761322165	0.03828368140991867	1416
Problem Solving	ProblemSolving_freq	+Demo	-0.41819280483601484	0.05801245917825078	9.316910282949369e-13	-0.41819280483601484	0.05801245917825078	0.042739886132741045	1377
Problem Solving	ProblemSolving_freq	+Edu	-0.41690257125073477	0.058154169112570674	1.233790506108053e-12	-0.41690257125073477	0.058154169112570674	0.04282154110240599	1377
Problem Solving	ProblemSolving_freq	+Exp	-0.39991941983152257	0.058144762211939684	9.215562124494822e-12	-0.39991941983152257	0.058144762211939684	0.05087482668425003	1377
Problem Solving	ProblemSolving_freq	+TechLit	-0.379080336575498	0.0583064110880017	1.1126148935836048e-10	-0.379080336575498	0.0583064110880017	0.058036640441492815	1377
Problem Solving	ProblemSolving_freq	+TechEdu	-0.3819499947108147	0.059189838641268123	1.520466822495889e-10	-0.3819499947108147	0.059189838641268123	0.05809270310674819	1377
Learning	Learning_freq	Baseline	-0.3247889425531066	0.055331752641543	5.413017084837724e-09	-0.3247889425531066	0.055331752641543	0.02351154117302956	1433
Learning	Learning_freq	+Demo	-0.33885263138136523	0.05643791261303269	2.4559302349015913e-09	-0.33885263138136523	0.05643791261303269	0.03949701640954395	1394
Learning	Learning_freq	+Edu	-0.3345985496376678	0.05652824706085596	4.075594413534401e-09	-0.3345985496376678	0.05652824706085596	0.04058693607650432	1394
Learning	Learning_freq	+Exp	-0.32615461732186146	0.05668438343859818	1.072672891750014e-08	-0.32615461732186146	0.05668438343859818	0.04276864265140812	1394
Learning	Learning_freq	+TechLit	-0.30889053240907777	0.056950247574847575	6.877779504688797e-08	-0.30889053240907777	0.056950247574847575	0.04747392380855342	1394
Learning	Learning_freq	+TechEdu	-0.3005192095820198	0.05794029911085853	2.4595342416447467e-07	-0.3005192095820198	0.05794029911085853	0.047902335836969456	1394
Content Creation	ContentCreation_freq	Baseline	-0.1214939607503832	0.06027572503363965	0.04402658848409458	-0.1214939607503832	0.06027572503363965	0.002860993998360928	1418
Content Creation	ContentCreation_freq	+Demo	-0.15080899248376659	0.05931603885116958	0.011116630561257472	-0.15080899248376659	0.05931603885116958	0.0940506576831237	1380
Content Creation	ContentCreation_freq	+Edu	-0.16616039443635958	0.05912111720337805	0.005016774363612162	-0.16616039443635958	0.05912111720337805	0.1044619130706077	1380
Content Creation	ContentCreation_freq	+Exp	-0.1317109278592863	0.058424606651122084	0.02433028519730206	-0.1317109278592863	0.058424606651122084	0.13285944043327436	1380
Content Creation	ContentCreation_freq	+TechLit	-0.08628251314641971	0.057936496192900824	0.13664954912239746	-0.08628251314641971	0.057936496192900824	0.1598435265198873	1380
Content Creation	ContentCreation_freq	+TechEdu	-0.11503822280455464	0.05864686989843947	0.05001883094841531	-0.11503822280455464	0.05864686989843947	0.1648748676457078	1380
Leisure	Entertainment_freq	Baseline	-0.3301449752743908	0.05472743790268112	2.0701232876395374e-09	-0.3301449752743908	0.05472743790268112	0.025711214258178683	1381
Leisure	Entertainment_freq	+Demo	-0.31697402241773054	0.05601336480165041	1.8626623548708143e-08	-0.31697402241773054	0.05601336480165041	0.03423720886701298	1343
Leisure	Entertainment_freq	+Edu	-0.3117421214858643	0.05608264304350884	3.280842523855833e-08	-0.3117421214858643	0.05608264304350884	0.03601005991366424	1343
Leisure	Entertainment_freq	+Exp	-0.3006040961668122	0.05624045302676306	1.0628860140796183e-07	-0.3006040961668122	0.05624045302676306	0.03939817551600966	1343
Leisure	Entertainment_freq	+TechLit	-0.2849220879119813	0.056501168365347285	5.222171927223198e-07	-0.2849220879119813	0.056501168365347285	0.043693356445224985	1343
Leisure	Entertainment_freq	+TechEdu	-0.31520953187843	0.057133297975155865	4.138061088617815e-08	-0.31520953187843	0.057133297975155865	0.05074073350709718	1343
Creativity	Creativity_freq	Baseline	-0.19603587962962907	0.05696052711451705	0.0005951222976025478	-0.19603587962962907	0.05696052711451705	0.008307128229763872	1416
Creativity	Creativity_freq	+Demo	-0.19554262925787827	0.05799230286992001	0.0007674278418076736	-0.19554262925787827	0.05799230286992001	0.028252450018275144	1378
Creativity	Creativity_freq	+Edu	-0.1922164193239585	0.058103982355748825	0.0009635820795060861	-0.1922164193239585	0.058103982355748825	0.028873466587176266	1378
Creativity	Creativity_freq	+Exp	-0.1634710743392892	0.05761491063167459	0.004616826398367957	-0.1634710743392892	0.05761491063167459	0.05274958954240028	1378
Creativity	Creativity_freq	+TechLit	-0.14315688904721394	0.05785586823567765	0.013467902801407323	-0.14315688904721394	0.05785586823567765	0.05883712579399092	1378
Creativity	Creativity_freq	+TechEdu	-0.17518690593652822	0.05857175474557459	0.0028307300862747517	-0.17518690593652822	0.05857175474557459	0.06554548900071122	1378
