Age_Group	AME_Woman_minus_Man	CI_Lower	CI_Upper
18-34	-0.040521288847245346	-0.060691097466751054	-0.021768695824590793
35-54	-0.07568275768921043	-0.10999354759051777	-0.04402892681735315
55-64	-0.09815267476849739	-0.13883699655787787	-0.05782902393956271
65+	-0.13496913992360632	-0.1874514233151823	-0.07501787356684154
